V1,V2
CANX,HLA-DRB5
CAPZA1,CD59
CAPZA1,HLA-DPA1
CAPZA1,HLA-DRB5
CAPZA1,KDELR1
CAPZA1,SPTB
CAPZA2,CD59
CAPZA2,HLA-DPA1
CAPZA2,HLA-DRB5
CAPZA2,KDELR1
CAPZA2,SPTB
CAPZA3,CD59
CAPZA3,HLA-DRB5
CAPZA3,KDELR1
CAPZB,CD59
CAPZB,HLA-DPA1
CAPZB,HLA-DRB5
CAPZB,KDELR1
CAPZB,SPTB
CARM1,MED10
CARM1,MED11
CARM1,MED17
CARM1,PRKACB
CASC3,NCBP2
CASC3,NUP205
CASC3,PPP2CA
